system_name,scenario,condition,response,malformed
Qwen/Qwen2.5-7B-Instruct,vehicles,violation,YES,False
Qwen/Qwen2.5-7B-Instruct,vehicles,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,vehicles,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,vehicles,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,vehicles,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,vehicles,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,vehicles,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,vehicles,compliance,NO,False
Qwen/Qwen2.5-7B-Instruct,sleep,violation,YES,False
Qwen/Qwen2.5-7B-Instruct,sleep,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,sleep,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,sleep,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,sleep,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,sleep,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,sleep,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,sleep,compliance,NO,False
Qwen/Qwen2.5-7B-Instruct,driving,violation,YES,False
Qwen/Qwen2.5-7B-Instruct,driving,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,driving,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,driving,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,driving,underinclusion,NO,False
Qwen/Qwen2.5-7B-Instruct,driving,underinclusion,NO,False
Qwen/Qwen2.5-7B-Instruct,driving,underinclusion,NO,False
Qwen/Qwen2.5-7B-Instruct,driving,compliance,NO,False
Qwen/Qwen2.5-7B-Instruct,library,violation,YES,False
Qwen/Qwen2.5-7B-Instruct,library,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,library,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,library,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,library,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,library,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,library,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,library,compliance,NO,False
Qwen/Qwen2.5-7B-Instruct,classroom,violation,YES,False
Qwen/Qwen2.5-7B-Instruct,classroom,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,classroom,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,classroom,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,classroom,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,classroom,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,classroom,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,classroom,compliance,NO,False
Qwen/Qwen2.5-7B-Instruct,shoes,violation,YES,False
Qwen/Qwen2.5-7B-Instruct,shoes,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,shoes,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,shoes,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,shoes,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,shoes,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,shoes,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,shoes,compliance,NO,False
Qwen/Qwen2.5-7B-Instruct,environment,violation,YES,False
Qwen/Qwen2.5-7B-Instruct,environment,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,environment,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,environment,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,environment,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,environment,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,environment,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,environment,compliance,YES,False
Qwen/Qwen2.5-7B-Instruct,music,violation,YES,False
Qwen/Qwen2.5-7B-Instruct,music,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,music,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,music,overinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,music,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,music,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,music,underinclusion,YES,False
Qwen/Qwen2.5-7B-Instruct,music,compliance,NO,False
