system_name,scenario,condition,response,malformed
Qwen/Qwen3-Next-80B-A3B-Instruct,vehicles,violation,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,vehicles,overinclusion,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,vehicles,underinclusion,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,vehicles,compliance,NO,False
Qwen/Qwen3-Next-80B-A3B-Instruct,sleep,violation,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,sleep,overinclusion,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,sleep,underinclusion,NO,False
Qwen/Qwen3-Next-80B-A3B-Instruct,sleep,compliance,NO,False
Qwen/Qwen3-Next-80B-A3B-Instruct,driving,violation,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,driving,overinclusion,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,driving,underinclusion,NO,False
Qwen/Qwen3-Next-80B-A3B-Instruct,driving,compliance,NO,False
Qwen/Qwen3-Next-80B-A3B-Instruct,library,violation,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,library,overinclusion,NO,False
Qwen/Qwen3-Next-80B-A3B-Instruct,library,underinclusion,NO,False
Qwen/Qwen3-Next-80B-A3B-Instruct,library,compliance,NO,False
Qwen/Qwen3-Next-80B-A3B-Instruct,classroom,violation,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,classroom,overinclusion,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,classroom,underinclusion,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,classroom,compliance,NO,False
Qwen/Qwen3-Next-80B-A3B-Instruct,shoes,violation,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,shoes,overinclusion,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,shoes,underinclusion,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,shoes,compliance,NO,False
Qwen/Qwen3-Next-80B-A3B-Instruct,environment,violation,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,environment,overinclusion,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,environment,underinclusion,NO,False
Qwen/Qwen3-Next-80B-A3B-Instruct,environment,compliance,NO,False
Qwen/Qwen3-Next-80B-A3B-Instruct,music,violation,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,music,overinclusion,YES,False
Qwen/Qwen3-Next-80B-A3B-Instruct,music,underinclusion,NO,False
Qwen/Qwen3-Next-80B-A3B-Instruct,music,compliance,NO,False
