system_name,scenario,condition,response,malformed
allenai/Olmo-3.1-32B-Instruct,vehicles,violation,YES,False
allenai/Olmo-3.1-32B-Instruct,vehicles,overinclusion,NO,False
allenai/Olmo-3.1-32B-Instruct,vehicles,underinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,vehicles,compliance,NO,False
allenai/Olmo-3.1-32B-Instruct,sleep,violation,YES,False
allenai/Olmo-3.1-32B-Instruct,sleep,overinclusion,NO,False
allenai/Olmo-3.1-32B-Instruct,sleep,underinclusion,NO,False
allenai/Olmo-3.1-32B-Instruct,sleep,compliance,NO,False
allenai/Olmo-3.1-32B-Instruct,driving,violation,YES,False
allenai/Olmo-3.1-32B-Instruct,driving,overinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,driving,underinclusion,NO,False
allenai/Olmo-3.1-32B-Instruct,driving,compliance,NO,False
allenai/Olmo-3.1-32B-Instruct,library,violation,YES,False
allenai/Olmo-3.1-32B-Instruct,library,overinclusion,NO,False
allenai/Olmo-3.1-32B-Instruct,library,underinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,library,compliance,NO,False
allenai/Olmo-3.1-32B-Instruct,classroom,violation,YES,False
allenai/Olmo-3.1-32B-Instruct,classroom,overinclusion,NO,False
allenai/Olmo-3.1-32B-Instruct,classroom,underinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,classroom,compliance,NO,False
allenai/Olmo-3.1-32B-Instruct,shoes,violation,YES,False
allenai/Olmo-3.1-32B-Instruct,shoes,overinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,shoes,underinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,shoes,compliance,NO,False
allenai/Olmo-3.1-32B-Instruct,environment,violation,YES,False
allenai/Olmo-3.1-32B-Instruct,environment,overinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,environment,underinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,environment,compliance,NO,False
allenai/Olmo-3.1-32B-Instruct,music,violation,YES,False
allenai/Olmo-3.1-32B-Instruct,music,overinclusion,NO,False
allenai/Olmo-3.1-32B-Instruct,music,underinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,music,compliance,NO,False
