system_name,scenario,condition,response,malformed
claude-haiku-4-5-20251001,vehicles,violation,YES,False
claude-haiku-4-5-20251001,vehicles,overinclusion,YES,False
claude-haiku-4-5-20251001,vehicles,underinclusion,YES,False
claude-haiku-4-5-20251001,vehicles,compliance,NO,False
claude-haiku-4-5-20251001,sleep,violation,YES,False
claude-haiku-4-5-20251001,sleep,overinclusion,NO,False
claude-haiku-4-5-20251001,sleep,underinclusion,NO,False
claude-haiku-4-5-20251001,sleep,compliance,NO,False
claude-haiku-4-5-20251001,driving,violation,YES,False
claude-haiku-4-5-20251001,driving,overinclusion,NO,False
claude-haiku-4-5-20251001,driving,underinclusion,NO,False
claude-haiku-4-5-20251001,driving,compliance,NO,False
claude-haiku-4-5-20251001,library,violation,YES,False
claude-haiku-4-5-20251001,library,overinclusion,NO,False
claude-haiku-4-5-20251001,library,underinclusion,NO,False
claude-haiku-4-5-20251001,library,compliance,NO,False
claude-haiku-4-5-20251001,classroom,violation,YES,False
claude-haiku-4-5-20251001,classroom,overinclusion,NO,False
claude-haiku-4-5-20251001,classroom,underinclusion,NO,False
claude-haiku-4-5-20251001,classroom,compliance,NO,False
claude-haiku-4-5-20251001,shoes,violation,YES,False
claude-haiku-4-5-20251001,shoes,overinclusion,NO,False
claude-haiku-4-5-20251001,shoes,underinclusion,YES,False
claude-haiku-4-5-20251001,shoes,compliance,NO,False
claude-haiku-4-5-20251001,environment,violation,YES,False
claude-haiku-4-5-20251001,environment,overinclusion,YES,False
claude-haiku-4-5-20251001,environment,underinclusion,NO,False
claude-haiku-4-5-20251001,environment,compliance,NO,False
claude-haiku-4-5-20251001,music,violation,YES,False
claude-haiku-4-5-20251001,music,overinclusion,YES,False
claude-haiku-4-5-20251001,music,underinclusion,NO,False
claude-haiku-4-5-20251001,music,compliance,NO,False
