system_name,scenario,condition,response,malformed
claude-sonnet-4-5-20250929,vehicles,violation,YES,False
claude-sonnet-4-5-20250929,vehicles,overinclusion,YES,False
claude-sonnet-4-5-20250929,vehicles,underinclusion,NO,False
claude-sonnet-4-5-20250929,vehicles,compliance,NO,False
claude-sonnet-4-5-20250929,sleep,violation,YES,False
claude-sonnet-4-5-20250929,sleep,overinclusion,NO,False
claude-sonnet-4-5-20250929,sleep,underinclusion,NO,False
claude-sonnet-4-5-20250929,sleep,compliance,NO,False
claude-sonnet-4-5-20250929,driving,violation,YES,False
claude-sonnet-4-5-20250929,driving,overinclusion,YES,False
claude-sonnet-4-5-20250929,driving,underinclusion,NO,False
claude-sonnet-4-5-20250929,driving,compliance,NO,False
claude-sonnet-4-5-20250929,library,violation,YES,False
claude-sonnet-4-5-20250929,library,overinclusion,YES,False
claude-sonnet-4-5-20250929,library,underinclusion,NO,False
claude-sonnet-4-5-20250929,library,compliance,NO,False
claude-sonnet-4-5-20250929,classroom,violation,YES,False
claude-sonnet-4-5-20250929,classroom,overinclusion,YES,False
claude-sonnet-4-5-20250929,classroom,underinclusion,NO,False
claude-sonnet-4-5-20250929,classroom,compliance,NO,False
claude-sonnet-4-5-20250929,shoes,violation,YES,False
claude-sonnet-4-5-20250929,shoes,overinclusion,YES,False
claude-sonnet-4-5-20250929,shoes,underinclusion,NO,False
claude-sonnet-4-5-20250929,shoes,compliance,NO,False
claude-sonnet-4-5-20250929,environment,violation,YES,False
claude-sonnet-4-5-20250929,environment,overinclusion,YES,False
claude-sonnet-4-5-20250929,environment,underinclusion,NO,False
claude-sonnet-4-5-20250929,environment,compliance,NO,False
claude-sonnet-4-5-20250929,music,violation,YES,False
claude-sonnet-4-5-20250929,music,overinclusion,YES,False
claude-sonnet-4-5-20250929,music,underinclusion,NO,False
claude-sonnet-4-5-20250929,music,compliance,NO,False
