system_name,scenario,condition,response,malformed
gpt-4.1-2025-04-14,vehicles,violation,YES,False
gpt-4.1-2025-04-14,vehicles,overinclusion,YES,False
gpt-4.1-2025-04-14,vehicles,underinclusion,NO,False
gpt-4.1-2025-04-14,vehicles,compliance,NO,False
gpt-4.1-2025-04-14,sleep,violation,YES,False
gpt-4.1-2025-04-14,sleep,overinclusion,YES,False
gpt-4.1-2025-04-14,sleep,underinclusion,NO,False
gpt-4.1-2025-04-14,sleep,compliance,NO,False
gpt-4.1-2025-04-14,driving,violation,YES,False
gpt-4.1-2025-04-14,driving,overinclusion,YES,False
gpt-4.1-2025-04-14,driving,underinclusion,NO,False
gpt-4.1-2025-04-14,driving,compliance,NO,False
gpt-4.1-2025-04-14,library,violation,YES,False
gpt-4.1-2025-04-14,library,overinclusion,YES,False
gpt-4.1-2025-04-14,library,underinclusion,NO,False
gpt-4.1-2025-04-14,library,compliance,NO,False
gpt-4.1-2025-04-14,classroom,violation,YES,False
gpt-4.1-2025-04-14,classroom,overinclusion,YES,False
gpt-4.1-2025-04-14,classroom,underinclusion,NO,False
gpt-4.1-2025-04-14,classroom,compliance,NO,False
gpt-4.1-2025-04-14,shoes,violation,YES,False
gpt-4.1-2025-04-14,shoes,overinclusion,YES,False
gpt-4.1-2025-04-14,shoes,underinclusion,NO,False
gpt-4.1-2025-04-14,shoes,compliance,NO,False
gpt-4.1-2025-04-14,environment,violation,YES,False
gpt-4.1-2025-04-14,environment,overinclusion,YES,False
gpt-4.1-2025-04-14,environment,underinclusion,NO,False
gpt-4.1-2025-04-14,environment,compliance,NO,False
gpt-4.1-2025-04-14,music,violation,YES,False
gpt-4.1-2025-04-14,music,overinclusion,YES,False
gpt-4.1-2025-04-14,music,underinclusion,NO,False
gpt-4.1-2025-04-14,music,compliance,NO,False
