system_name,scenario,condition,response,malformed
gpt-4o-2024-11-20,vehicles,violation,YES,False
gpt-4o-2024-11-20,vehicles,overinclusion,YES,False
gpt-4o-2024-11-20,vehicles,underinclusion,YES,False
gpt-4o-2024-11-20,vehicles,compliance,NO,False
gpt-4o-2024-11-20,sleep,violation,YES,False
gpt-4o-2024-11-20,sleep,overinclusion,YES,False
gpt-4o-2024-11-20,sleep,underinclusion,NO,False
gpt-4o-2024-11-20,sleep,compliance,NO,False
gpt-4o-2024-11-20,driving,violation,YES,False
gpt-4o-2024-11-20,driving,overinclusion,YES,False
gpt-4o-2024-11-20,driving,underinclusion,NO,False
gpt-4o-2024-11-20,driving,compliance,NO,False
gpt-4o-2024-11-20,library,violation,YES,False
gpt-4o-2024-11-20,library,overinclusion,YES,False
gpt-4o-2024-11-20,library,underinclusion,NO,False
gpt-4o-2024-11-20,library,compliance,NO,False
gpt-4o-2024-11-20,classroom,violation,YES,False
gpt-4o-2024-11-20,classroom,overinclusion,YES,False
gpt-4o-2024-11-20,classroom,underinclusion,NO,False
gpt-4o-2024-11-20,classroom,compliance,NO,False
gpt-4o-2024-11-20,shoes,violation,YES,False
gpt-4o-2024-11-20,shoes,overinclusion,YES,False
gpt-4o-2024-11-20,shoes,underinclusion,NO,False
gpt-4o-2024-11-20,shoes,compliance,NO,False
gpt-4o-2024-11-20,environment,violation,YES,False
gpt-4o-2024-11-20,environment,overinclusion,YES,False
gpt-4o-2024-11-20,environment,underinclusion,NO,False
gpt-4o-2024-11-20,environment,compliance,NO,False
gpt-4o-2024-11-20,music,violation,YES,False
gpt-4o-2024-11-20,music,overinclusion,YES,False
gpt-4o-2024-11-20,music,underinclusion,NO,False
gpt-4o-2024-11-20,music,compliance,NO,False
