system_name,scenario,condition,response,malformed
meta-llama/Llama-3.1-70B-Instruct,vehicles,violation,YES,False
meta-llama/Llama-3.1-70B-Instruct,vehicles,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,vehicles,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,vehicles,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,vehicles,underinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,vehicles,underinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,vehicles,underinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,vehicles,compliance,NO,False
meta-llama/Llama-3.1-70B-Instruct,sleep,violation,YES,False
meta-llama/Llama-3.1-70B-Instruct,sleep,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,sleep,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,sleep,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,sleep,underinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,sleep,underinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,sleep,underinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,sleep,compliance,NO,False
meta-llama/Llama-3.1-70B-Instruct,driving,violation,YES,False
meta-llama/Llama-3.1-70B-Instruct,driving,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,driving,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,driving,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,driving,underinclusion,NO,False
meta-llama/Llama-3.1-70B-Instruct,driving,underinclusion,NO,False
meta-llama/Llama-3.1-70B-Instruct,driving,underinclusion,NO,False
meta-llama/Llama-3.1-70B-Instruct,driving,compliance,NO,False
meta-llama/Llama-3.1-70B-Instruct,library,violation,YES,False
meta-llama/Llama-3.1-70B-Instruct,library,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,library,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,library,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,library,underinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,library,underinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,library,underinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,library,compliance,NO,False
meta-llama/Llama-3.1-70B-Instruct,classroom,violation,YES,False
meta-llama/Llama-3.1-70B-Instruct,classroom,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,classroom,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,classroom,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,classroom,underinclusion,NO,False
meta-llama/Llama-3.1-70B-Instruct,classroom,underinclusion,NO,False
meta-llama/Llama-3.1-70B-Instruct,classroom,underinclusion,NO,False
meta-llama/Llama-3.1-70B-Instruct,classroom,compliance,NO,False
meta-llama/Llama-3.1-70B-Instruct,shoes,violation,YES,False
meta-llama/Llama-3.1-70B-Instruct,shoes,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,shoes,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,shoes,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,shoes,underinclusion,NO,False
meta-llama/Llama-3.1-70B-Instruct,shoes,underinclusion,NO,False
meta-llama/Llama-3.1-70B-Instruct,shoes,underinclusion,NO,False
meta-llama/Llama-3.1-70B-Instruct,shoes,compliance,NO,False
meta-llama/Llama-3.1-70B-Instruct,environment,violation,YES,False
meta-llama/Llama-3.1-70B-Instruct,environment,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,environment,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,environment,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,environment,underinclusion,NO,False
meta-llama/Llama-3.1-70B-Instruct,environment,underinclusion,NO,False
meta-llama/Llama-3.1-70B-Instruct,environment,underinclusion,NO,False
meta-llama/Llama-3.1-70B-Instruct,environment,compliance,NO,False
meta-llama/Llama-3.1-70B-Instruct,music,violation,YES,False
meta-llama/Llama-3.1-70B-Instruct,music,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,music,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,music,overinclusion,YES,False
meta-llama/Llama-3.1-70B-Instruct,music,underinclusion,NO,False
meta-llama/Llama-3.1-70B-Instruct,music,underinclusion,NO,False
meta-llama/Llama-3.1-70B-Instruct,music,underinclusion,NO,False
meta-llama/Llama-3.1-70B-Instruct,music,compliance,NO,False
