system_name,scenario,condition,response,malformed
gpt-4o-mini-2024-07-18,sleep,violation,YES,False
gpt-4o-mini-2024-07-18,sleep,overinclusion,YES,False
gpt-4o-mini-2024-07-18,sleep,underinclusion,NO,False
gpt-4o-mini-2024-07-18,sleep,compliance,NO,False
gpt-4o-mini-2024-07-18,driving,violation,YES,False
gpt-4o-mini-2024-07-18,driving,overinclusion,YES,False
gpt-4o-mini-2024-07-18,driving,underinclusion,NO,False
gpt-4o-mini-2024-07-18,driving,compliance,NO,False
gpt-4o-mini-2024-07-18,library,violation,YES,False
gpt-4o-mini-2024-07-18,library,overinclusion,YES,False
gpt-4o-mini-2024-07-18,library,underinclusion,YES,False
gpt-4o-mini-2024-07-18,library,compliance,NO,False
gpt-4o-mini-2024-07-18,classroom,violation,YES,False
gpt-4o-mini-2024-07-18,classroom,overinclusion,YES,False
gpt-4o-mini-2024-07-18,classroom,underinclusion,NO,False
gpt-4o-mini-2024-07-18,classroom,compliance,NO,False
gpt-4o-mini-2024-07-18,shoes,violation,YES,False
gpt-4o-mini-2024-07-18,shoes,overinclusion,YES,False
gpt-4o-mini-2024-07-18,shoes,underinclusion,NO,False
gpt-4o-mini-2024-07-18,shoes,compliance,NO,False
gpt-4o-mini-2024-07-18,environment,violation,YES,False
gpt-4o-mini-2024-07-18,environment,overinclusion,YES,False
gpt-4o-mini-2024-07-18,environment,underinclusion,NO,False
gpt-4o-mini-2024-07-18,environment,compliance,NO,False
gpt-4o-mini-2024-07-18,music,violation,YES,False
gpt-4o-mini-2024-07-18,music,overinclusion,YES,False
gpt-4o-mini-2024-07-18,music,underinclusion,NO,False
gpt-4o-mini-2024-07-18,music,compliance,NO,False
