model,scenario,condition,lp_diff_standard,lp_diff_system2,manipulation_change,effect
meta-llama/Llama-3.1-70B-Instruct,classroom,overinclusion,10.9999,14.3749,3.3749,more textualist
meta-llama/Llama-3.1-70B-Instruct,driving,overinclusion,10.7500,13.1247,2.3748,more textualist
meta-llama/Llama-3.1-70B-Instruct,environment,overinclusion,17.3745,17.8746,0.5001,more textualist
meta-llama/Llama-3.1-70B-Instruct,library,overinclusion,17.4997,16.7496,-0.7500,more purposivist
meta-llama/Llama-3.1-70B-Instruct,music,overinclusion,13.7497,14.3744,0.6247,more textualist
meta-llama/Llama-3.1-70B-Instruct,shoes,overinclusion,10.0000,13.8749,3.8749,more textualist
meta-llama/Llama-3.1-70B-Instruct,sleep,overinclusion,14.9998,15.2496,0.2499,more textualist
meta-llama/Llama-3.1-70B-Instruct,vehicles,overinclusion,17.8741,17.6242,-0.2499,more purposivist
meta-llama/Llama-3.1-70B-Instruct,classroom,underinclusion,-6.5000,-7.9999,-1.5000,more purposivist
meta-llama/Llama-3.1-70B-Instruct,driving,underinclusion,-17.8747,-18.1244,-0.2497,more purposivist
meta-llama/Llama-3.1-70B-Instruct,environment,underinclusion,-15.6248,-15.7497,-0.1248,more purposivist
meta-llama/Llama-3.1-70B-Instruct,library,underinclusion,11.7499,12.3747,0.6248,more textualist
meta-llama/Llama-3.1-70B-Instruct,music,underinclusion,-14.4997,-15.8742,-1.3745,more purposivist
meta-llama/Llama-3.1-70B-Instruct,shoes,underinclusion,-4.2500,-6.5000,-2.2500,more purposivist
meta-llama/Llama-3.1-70B-Instruct,sleep,underinclusion,0.2500,-4.2500,-4.5000,more purposivist
meta-llama/Llama-3.1-70B-Instruct,vehicles,underinclusion,3.5000,3.0000,-0.5000,more purposivist
meta-llama/Llama-3.1-8B-Instruct,classroom,overinclusion,-0.7645,-0.8585,-0.0940,more purposivist
meta-llama/Llama-3.1-8B-Instruct,driving,overinclusion,-2.3740,-1.9525,0.4215,more textualist
meta-llama/Llama-3.1-8B-Instruct,environment,overinclusion,8.1875,6.3907,-1.7968,more purposivist
meta-llama/Llama-3.1-8B-Instruct,library,overinclusion,0.4379,0.3752,-0.0626,more purposivist
meta-llama/Llama-3.1-8B-Instruct,music,overinclusion,4.8907,4.2501,-0.6406,more purposivist
meta-llama/Llama-3.1-8B-Instruct,shoes,overinclusion,1.8908,0.9845,-0.9062,more purposivist
meta-llama/Llama-3.1-8B-Instruct,sleep,overinclusion,-5.3105,-7.2013,-1.8908,more purposivist
meta-llama/Llama-3.1-8B-Instruct,vehicles,overinclusion,0.5630,0.4378,-0.1251,more purposivist
meta-llama/Llama-3.1-8B-Instruct,classroom,underinclusion,6.1563,3.5782,-2.5781,more purposivist
meta-llama/Llama-3.1-8B-Instruct,driving,underinclusion,-3.0148,-3.3897,-0.3749,more purposivist
meta-llama/Llama-3.1-8B-Instruct,environment,underinclusion,2.5626,0.6877,-1.8749,more purposivist
meta-llama/Llama-3.1-8B-Instruct,library,underinclusion,3.1094,1.8751,-1.2343,more purposivist
meta-llama/Llama-3.1-8B-Instruct,music,underinclusion,3.1251,2.8126,-0.3125,more purposivist
meta-llama/Llama-3.1-8B-Instruct,shoes,underinclusion,3.2501,1.8907,-1.3593,more purposivist
meta-llama/Llama-3.1-8B-Instruct,sleep,underinclusion,-3.4206,-5.6861,-2.2655,more purposivist
meta-llama/Llama-3.1-8B-Instruct,vehicles,underinclusion,5.6407,4.4063,-1.2344,more purposivist
meta-llama/Llama-3.2-1B-Instruct,classroom,overinclusion,-0.7491,-1.2480,-0.4989,more purposivist
meta-llama/Llama-3.2-1B-Instruct,driving,overinclusion,-1.1247,-1.9988,-0.8742,more purposivist
meta-llama/Llama-3.2-1B-Instruct,environment,overinclusion,-0.8744,-0.9990,-0.1245,more purposivist
meta-llama/Llama-3.2-1B-Instruct,library,overinclusion,-0.4993,-0.8743,-0.3749,more purposivist
meta-llama/Llama-3.2-1B-Instruct,music,overinclusion,-1.2491,-1.3740,-0.1249,more purposivist
meta-llama/Llama-3.2-1B-Instruct,shoes,overinclusion,-1.2483,-1.4972,-0.2489,more purposivist
meta-llama/Llama-3.2-1B-Instruct,sleep,overinclusion,-0.7488,-0.9983,-0.2494,more purposivist
meta-llama/Llama-3.2-1B-Instruct,vehicles,overinclusion,-1.3731,-1.6225,-0.2495,more purposivist
meta-llama/Llama-3.2-1B-Instruct,classroom,underinclusion,-0.9983,-1.2478,-0.2495,more purposivist
meta-llama/Llama-3.2-1B-Instruct,driving,underinclusion,-1.6245,-1.4996,0.1249,more textualist
meta-llama/Llama-3.2-1B-Instruct,environment,underinclusion,-0.4994,-0.9989,-0.4995,more purposivist
meta-llama/Llama-3.2-1B-Instruct,library,underinclusion,-0.7489,-0.9989,-0.2501,more purposivist
meta-llama/Llama-3.2-1B-Instruct,music,underinclusion,-1.1234,-1.6231,-0.4998,more purposivist
meta-llama/Llama-3.2-1B-Instruct,shoes,underinclusion,-1.4971,-1.4969,0.0002,more textualist
meta-llama/Llama-3.2-1B-Instruct,sleep,underinclusion,-1.1232,-1.2479,-0.1247,more purposivist
meta-llama/Llama-3.2-1B-Instruct,vehicles,underinclusion,-0.8736,-1.2481,-0.3745,more purposivist
