system_name,scenario,condition,response,malformed
allenai/Olmo-3.1-32B-Instruct,sleep,violation,YES,False
allenai/Olmo-3.1-32B-Instruct,sleep,overinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,sleep,underinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,sleep,compliance,NO,False
allenai/Olmo-3.1-32B-Instruct,driving,violation,YES,False
allenai/Olmo-3.1-32B-Instruct,driving,overinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,driving,underinclusion,NO,False
allenai/Olmo-3.1-32B-Instruct,driving,compliance,NO,False
allenai/Olmo-3.1-32B-Instruct,library,violation,YES,False
allenai/Olmo-3.1-32B-Instruct,library,overinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,library,underinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,library,compliance,NO,False
allenai/Olmo-3.1-32B-Instruct,classroom,violation,YES,False
allenai/Olmo-3.1-32B-Instruct,classroom,overinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,classroom,underinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,classroom,compliance,NO,False
allenai/Olmo-3.1-32B-Instruct,shoes,violation,YES,False
allenai/Olmo-3.1-32B-Instruct,shoes,overinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,shoes,underinclusion,NO,False
allenai/Olmo-3.1-32B-Instruct,shoes,compliance,NO,False
allenai/Olmo-3.1-32B-Instruct,environment,violation,YES,False
allenai/Olmo-3.1-32B-Instruct,environment,overinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,environment,underinclusion,NO,False
allenai/Olmo-3.1-32B-Instruct,environment,compliance,NO,False
allenai/Olmo-3.1-32B-Instruct,music,violation,YES,False
allenai/Olmo-3.1-32B-Instruct,music,overinclusion,YES,False
allenai/Olmo-3.1-32B-Instruct,music,underinclusion,NO,False
allenai/Olmo-3.1-32B-Instruct,music,compliance,NO,False
